,simm_ABAD_pos,simm_ABAD_neg,simm_LAR_pos,simm_LAR_neg,simm_FLEX_pos,simm_FLEX_neg,maya_ABAD_pos,maya_ABAD_neg,maya_LAR_pos,maya_LAR_neg,maya_FLEX_pos,maya_FLEX_neg
44L_13_48,18.14605,0.0,0.0,-2.5675,12.7541,0.0,19.70832705,0.0,0.7515665144,0.0,16.41003251,0.0
44L_13_49,18.03779,0.0,0.0,-2.6327,12.734,0.0,19.59605336,0.0,0.6976478546999999,0.0,16.51000619,0.0
44L_13_50,17.96761,0.0,0.0,-2.6991,12.7096,0.0,19.52738643,0.0,0.6506504118,0.0,16.58333898,0.0
44L_13_51,17.91342,0.0,0.0,-2.777,12.6571,0.0,19.51125383,0.0,0.5951149389,0.0,16.62821531,0.0
44L_13_52,17.85237,0.0,0.0,-2.8704,12.5639,0.0,19.54292655,0.0,0.5185513943,0.0,16.64808869,0.0
44L_13_53,17.77526,0.0,0.0,-2.9774,12.437,0.0,19.60862875,0.0,0.4154841602,0.0,16.65068388,0.0
44L_13_54,17.69074,0.0,0.0,-3.092,12.3018,0.0,19.69064474,0.0,0.2904014661999999,0.0,16.64544463,0.0
44L_13_55,17.61777,0.0,0.0,-3.2041,12.1912,0.0,19.77193236,0.0,0.1578787155,0.0,16.64088845,0.0
44L_13_56,17.57375,0.0,0.0,-3.3014,12.1328,0.0,19.83958006,0.0,0.03899370553,0.0,16.64316773,0.0
44L_13_57,17.56787,0.0,0.0,-3.3716,12.1404,0.0,19.88643289,0.0,0.0,-0.04518764559,16.65607929,0.0
44L_13_58,17.60249,0.0,0.0,-3.4068,12.2129,0.0,19.9110353,0.0,0.0,-0.0810127053399999,16.68172956,0.0
44L_13_59,17.67704,0.0,0.0,-3.408,12.3389,0.0,19.91667509,0.0,0.0,-0.06778098643,16.72088385,0.0
44L_13_60,17.78691,0.0,0.0,-3.3862,12.4989,0.0,19.91011024,0.0,0.0,-0.01862416393,16.77253723,0.0
44L_13_61,17.91788,0.0,0.0,-3.3582,12.6678,0.0,19.89982963,0.0,0.04431012087,0.0,16.83322191,0.0
44L_13_62,18.04416,0.0,0.0,-3.3406,12.8181,0.0,19.89352703,0.0,0.0980339013,0.0,16.89713717,0.0
44L_13_63,18.13597,0.0,0.0,-3.3444,12.9269,0.0,19.89529848,0.0,0.1259060203999999,0.0,16.9576335,0.0
44L_13_64,18.17196,0.0,0.0,-3.372,12.9826,0.0,19.90399122,0.0,0.1208255719,0.0,17.00948954,0.0
44L_13_65,18.14694,0.0,0.0,-3.4182,12.9865,0.0,19.91386175,0.0,0.08440963924,0.0,17.05067277,0.0
44L_13_66,18.07049,0.0,0.0,-3.473,12.9495,0.0,19.91722822,0.0,0.02408426022,0.0,17.08253264,0.0
44L_13_67,17.95999,0.0,0.0,-3.5256,12.8855,0.0,19.90744352,0.0,0.0,-0.04982609767,17.10837126,0.0
44L_13_68,17.83389,0.0,0.0,-3.5674,12.8069,0.0,19.8807025,0.0,0.0,-0.1259790082,17.13130474,0.0
44L_13_69,17.70754,0.0,0.0,-3.5929,12.7231,0.0,19.8363173,0.0,0.0,-0.1932980679,17.15266347,0.0
44L_13_70,17.59098,0.0,0.0,-3.601,12.6397,0.0,19.77602243,0.0,0.0,-0.2428416162999999,17.17170954,0.0
44L_13_71,17.48755,0.0,0.0,-3.5942,12.5584,0.0,19.70300198,0.0,0.0,-0.2704951353,17.18652129,0.0
44L_13_72,17.39389,0.0,0.0,-3.5788,12.4767,0.0,19.62104917,0.0,0.0,-0.2789355069,17.19529271,0.0
44L_13_73,17.30187,0.0,0.0,-3.5632,12.3892,0.0,19.53404546,0.0,0.0,-0.276936423,17.197244169999998,0.0
44L_13_74,17.20242,0.0,0.0,-3.555,12.2895,0.0,19.44574118,0.0,0.0,-0.2757830732,17.1927917,0.0
44L_13_75,17.08969,0.0,0.0,-3.5582,12.1744,0.0,19.3597436,0.0,0.0,-0.2845475823,17.18319535,0.0
44L_13_76,16.96357,0.0,0.0,-3.573,12.0458,0.0,19.27956343,0.0,0.0,-0.3065540083,17.1701467,0.0
44L_13_77,16.82964,0.0,0.0,-3.5961,11.912,0.0,19.20844078,0.0,0.0,-0.3385566547999999,17.15563655,0.0
44L_13_78,16.69703,0.0,0.0,-3.6229,11.7852,0.0,19.14871693,0.0,0.0,-0.3728017956,17.14203238,0.0
44L_13_79,16.57548,0.0,0.0,-3.649,11.6785,0.0,19.10083652,0.0,0.0,-0.4008825868,17.13203669,0.0
44L_13_80,16.47305,0.0,0.0,-3.6712,11.6015,0.0,19.06251788,0.0,0.0,-0.4175298661,17.12822556,0.0
44L_13_81,16.39466,0.0,0.0,-3.6879,11.5577,0.0,19.02879119,0.0,0.0,-0.4225259647,17.13219643,0.0
44L_13_82,16.34138,0.0,0.0,-3.6988,11.5442,0.0,18.99336576,0.0,0.0,-0.4198832437,17.14371562,0.0
44L_13_83,16.31076,0.0,0.0,-3.704,11.5527,0.0,18.95108104,0.0,0.0,-0.4148913919999999,17.16039538,0.0
44L_13_84,16.29795,0.0,0.0,-3.7034,11.5735,0.0,18.90041232,0.0,0.0,-0.4108343273,17.178186179999997,0.0
44L_13_85,16.29742,0.0,0.0,-3.6967,11.5974,0.0,18.84476185,0.0,0.0,-0.4073414579,17.1924448,0.0
44L_13_86,16.30429,0.0,0.0,-3.6838,11.6184,0.0,18.79165173,0.0,0.0,-0.4012301192,17.19908237,0.0
44L_13_87,16.31469,0.0,0.0,-3.6655,11.6325,0.0,18.74987364,0.0,0.0,-0.389037244,17.19535589,0.0
44L_13_88,16.32571,0.0,0.0,-3.6441,11.6381,0.0,18.72576952,0.0,0.0,-0.3695082663999999,17.18029857,0.0
44L_13_89,16.33559,0.0,0.0,-3.6231,11.6353,0.0,18.72074008,0.0,0.0,-0.3446357324999999,17.15511322,0.0
