,simm_ABAD_pos,simm_ABAD_neg,simm_LAR_pos,simm_LAR_neg,simm_FLEX_pos,simm_FLEX_neg,maya_ABAD_pos,maya_ABAD_neg,maya_LAR_pos,maya_LAR_neg,maya_FLEX_pos,maya_FLEX_neg
44L_13_45,0.0,-3.01087,0.0,-0.96566,14.6406,0.0,0.0,-2.721674442,0.0,-2.004052699,13.46691132,0.0
44L_13_46,0.0,-2.9512,0.0,-0.95869,14.6195,0.0,0.0,-2.584816515,0.0,-2.007640302,13.48637938,0.0
44L_13_47,0.0,-2.88525,0.0,-0.95314,14.6028,0.0,0.0,-2.435513735,0.0,-2.011942714,13.50349426,0.0
44L_13_48,0.0,-2.81542,0.0,-0.94891,14.5929,0.0,0.0,-2.28923738,0.0,-2.018283308,13.51951241,0.0
44L_13_49,0.0,-2.74651,0.0,-0.94521,14.5889,0.0,0.0,-2.160135955,0.0,-2.029463649,13.53499413,0.0
44L_13_50,0.0,-2.68496,0.0,-0.94063,14.5868,0.0,0.0,-2.057519704,0.0,-2.047081888,13.54841232,0.0
44L_13_51,0.0,-2.63675,0.0,-0.93315,14.581,0.0,0.0,-1.984166801,0.0,-2.069071382,13.55682969,0.0
44L_13_52,0.0,-2.60505,0.0,-0.92058,14.5669,0.0,0.0,-1.936785728,0.0,-2.089798301,13.55753422,0.0
44L_13_53,0.0,-2.58848,0.0,-0.90125,14.5423,0.0,0.0,-1.908102334,0.0,-2.102687657,13.54922891,0.0
44L_13_54,0.0,-2.58086,0.0,-0.87497,14.5093,0.0,0.0,-1.889532059,0.0,-2.103343755,13.532296420000002,0.0
44L_13_55,0.0,-2.57278,0.0,-0.84331,14.4732,0.0,0.0,-1.873419136,0.0,-2.091105282,13.50850582,0.0
44L_13_56,0.0,-2.55458,0.0,-0.80931,14.4413,0.0,0.0,-1.854288578,0.0,-2.068506479,13.48066092,0.0
44L_13_57,0.0,-2.51962,0.0,-0.77646,14.4199,0.0,0.0,-1.829153299,0.0,-2.039610595,13.45230579,0.0
44L_13_58,0.0,-2.4668,0.0,-0.74757,14.4125,0.0,0.0,-1.797314435,0.0,-2.008559108,13.42736602,0.0
44L_13_59,0.0,-2.40091,0.0,-0.72396,14.4187,0.0,0.0,-1.760059446,0.0,-1.978970617,13.40952396,0.0
44L_13_60,0.0,-2.33062,0.0,-0.70538,14.4344,0.0,0.0,-1.7202760280000002,0.0,-1.953905076,13.40130925,0.0
44L_13_61,0.0,-2.26501,0.0,-0.69062,14.4544,0.0,0.0,-1.681689471,0.0,-1.935764104,13.40326548,0.0
44L_13_62,0.0,-2.2104,0.0,-0.67856,14.4734,0.0,0.0,-1.647577137,0.0,-1.925815642,13.41376424,0.0
44L_13_63,0.0,-2.16925,0.0,-0.66887,14.4884,0.0,0.0,-1.619322449,0.0,-1.923595965,13.42990279,0.0
44L_13_64,0.0,-2.14105,0.0,-0.66228,14.4986,0.0,0.0,-1.595602632,0.0,-1.926732957,13.44924212,0.0
44L_13_65,0.0,-2.12414,0.0,-0.66027,14.5056,0.0,0.0,-1.5728722510000002,0.0,-1.931592822,13.47150922,0.0
44L_13_66,0.0,-2.11741,0.0,-0.6646,14.5119,0.0,0.0,-1.5471330289999998,0.0,-1.934727728,13.499145509999998,0.0
44L_13_67,0.0,-2.12099,0.0,-0.67682,14.5202,0.0,0.0,-1.516153067,0.0,-1.934612393,13.53606582,0.0
44L_13_68,0.0,-2.13583,0.0,-0.69784,14.5326,0.0,0.0,-1.480925977,0.0,-1.932826042,13.58511806,0.0
44L_13_69,0.0,-2.16246,0.0,-0.72773,14.5498,0.0,0.0,-1.445497721,0.0,-1.933916956,13.645854,0.0
44L_13_70,0.0,-2.19985,0.0,-0.7656,14.5715,0.0,0.0,-1.415149271,0.0,-1.943801939,13.71425867,0.0
44L_13_71,0.0,-2.24495,0.0,-0.80954,14.5963,0.0,0.0,-1.3938084240000002,0.0,-1.967313588,13.78473043,0.0
44L_13_72,0.0,-2.2933,0.0,-0.85655,14.622,0.0,0.0,-1.382026374,0.0,-2.005869597,13.852815629999998,0.0
44L_13_73,0.0,-2.34021,0.0,-0.90261,14.646,0.0,0.0,-1.376611739,0.0,-2.056176066,13.91669989,0.0
44L_13_74,0.0,-2.38216,0.0,-0.94313,14.6651,0.0,0.0,-1.372142285,0.0,-2.11064443,13.97654533,0.0
44L_13_75,0.0,-2.41747,0.0,-0.97386,14.6765,0.0,0.0,-1.363514215,0.0,-2.159692943,14.03248549,0.0
44L_13_76,0.0,-2.44591,0.0,-0.99206,14.6783,0.0,0.0,-1.348139793,0.0,-2.195201814,14.082973,0.0
44L_13_77,0.0,-2.46754,0.0,-0.99741,14.6706,0.0,0.0,-1.32669583,0.0,-2.21355617,14.1247046,0.0
44L_13_78,0.0,-2.48193,0.0,-0.99221,14.6556,0.0,0.0,-1.302188188,0.0,-2.216687799,14.15415168,0.0
44L_13_79,0.0,-2.4883,0.0,-0.98075,14.6371,0.0,0.0,-1.278012395,0.0,-2.210600376,14.16983128,0.0
44L_13_80,0.0,-2.48651,0.0,-0.9679,14.6197,0.0,0.0,-1.256159544,0.0,-2.2023580970000003,14.17405605,0.0
44L_13_81,0.0,-2.47775,0.0,-0.9577,14.6072,0.0,0.0,-1.236538365,0.0,-2.197280377,14.17300463,0.0
44L_13_82,0.0,-2.46459,0.0,-0.95231,14.6017,0.0,0.0,-1.217676327,0.0,-2.197594792,14.17470694,0.0
44L_13_83,0.0,-2.45015,0.0,-0.95169,14.6031,0.0,0.0,-1.198269352,0.0,-2.202635854,14.18579221,0.0
44L_13_84,0.0,-2.43717,0.0,-0.95399,14.6097,0.0,0.0,-1.178625971,0.0,-2.209854126,14.20873284,0.0
44L_13_85,0.0,-2.42731,0.0,-0.95635,14.6186,0.0,0.0,-1.161169112,0.0,-2.215860784,14.24111605,0.0
44L_13_86,0.0,-2.42107,0.0,-0.9557,14.627,0.0,0.0,-1.149650365,0.0,-2.21716851,14.27724004,0.0
44L_13_87,0.0,-2.41801,0.0,-0.94949,14.6323,0.0,0.0,-1.147335917,0.0,-2.210654616,14.31101322,0.0
44L_13_88,0.0,-2.41688,0.0,-0.93613,14.6331,0.0,0.0,-1.154962406,0.0,-2.193891853,14.33857679,0.0
44L_13_89,0.0,-2.41569,0.0,-0.91544,14.629,0.0,0.0,-1.169547811,0.0,-2.165522128,14.35936093,0.0
44L_13_90,0.0,-2.41178,0.0,-0.8888,14.6211,0.0,0.0,-1.184910238,0.0,-2.125796825,14.37526345,0.0
44L_13_91,0.0,-2.40248,0.0,-0.85912,14.6119,0.0,0.0,-1.193863824,0.0,-2.077068537,14.38880086,0.0
